name,tagline,technologies,slots,year
FOSSASIA,"Improve People's Lives","python,java,javascript,android,php",51,2017
"R project for statistical computing","R is a free software environment for statistical computing and graphics","r-project,c,c++,fortran,javascript",33,2017
"Python Software Foundation","Python is a programming language used by scientists & software developers alike.",python,29,2017
KDE,"Experience Freedom!","c++,qt,qt5",24,2017
"Apache Software Foundation","Providing open source software to the public free of charge","java,c,erlang",23,2017
Mozilla,"Internet for people, not profit.","js,rust,html/css,c++,python",21,2017
CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC","python,c/c++,machine learning,data analysis,parallel algorithms",20,2017
"National Resource for Network Biology (NRNB)","Developing open source software to enable network-based biomedical discovery","java, javascript,python,php,c++",20,2017
GNOME,"Non-profit organization that creates a computing platform for the general public","c,python,gtk+, javascript,gobject",19,2017
"Sustainable Computing Research Group ( SCoRe )","SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python,java,gcp,android,golan",16,2017
"The Julia Language","A fresh approach to Technical Computing","julia, javascript,gpu,c/c++,llvm",16,2017
OpenCV,"Open Source Computer Vision and Machine Learning Library","vision, deep learning, c++, python",15,2017
OpenMRS,"Write Code. Save Lives.","java,javascript,html/css,hibernate,mysql",15,2017
"The Processing Foundation","Our goal is to empower people of all backgrounds to learn how to program.","java, javascript, python, android, opengl",14,2017
"AOSSIE - Australian Open Source Software Innovation and Education","Umbrella Org for Open-Source Projects in Australia","scala,javascript/html/css,automated reasoning,android/ios,xcode",13,2017
INCF,"Advancing global collaborative brain research","c++,python,java,xml,gpu",13,2017
OSGeo,"Open Source Geospatial Foundation","c++, python, c, sql,java",13,2017
"The GNU Project","GNU is an operating system that is free software","c,guile,python",13,2017
